team	season	competition	number	name	position	games_played	goals	assists	points	nationality
Tampa Bay Rowdies	1976	North American Soccer League	4	Tommy Smith	D	17	0	0	0	England
Tampa Bay Rowdies	1976	North American Soccer League	5	Ringo Cantillo	M	21	0	3	3	Costa Rica/USA
Tampa Bay Rowdies	1976	North American Soccer League	6	Colin Fowles	M	 	 	 	 	Jamaica/USA
Tampa Bay Rowdies	1976	North American Soccer League	7	Stewart Scullion	F	24	10	10	30	Scotland
Tampa Bay Rowdies	1976	North American Soccer League	8	Randy Garber	M	5	0	1	1	USA
Tampa Bay Rowdies	1976	North American Soccer League	9	Clyde Best	F	19	9	6	24	Bermuda
Tampa Bay Rowdies	1976	North American Soccer League	10	Rodney Marsh	M	21	11	9	31	England
Tampa Bay Rowdies	1976	North American Soccer League	11	Doug Wark	F	4	0	0	0	Scotland/USA
Tampa Bay Rowdies	1976	North American Soccer League	11	Dennis Wit	M	7	0	3	3	USA
Tampa Bay Rowdies	1976	North American Soccer League	12	Derek Smethurst	F	24	20	5	45	South Africa
Tampa Bay Rowdies	1976	North American Soccer League	13	Stewart Jump	D	17	1	0	2	England
Tampa Bay Rowdies	1976	North American Soccer League	14	Joe Fink	F	9	1	1	3	USA
Tampa Bay Rowdies	1976	North American Soccer League	15	Mark Lindsay	M	21	4	4	12	England
Tampa Bay Rowdies	1976	North American Soccer League	16	John Bluem	D	13	0	0	0	USA
Tampa Bay Rowdies	1976	North American Soccer League	17	Eddie Austin	F	4	0	0	0	Scotland/USA
Tampa Bay Rowdies	1976	North American Soccer League	18	Arsene Auguste	D	17	0	0	0	Haiti
Tampa Bay Rowdies	1976	North American Soccer League	19	Len Glover	M	14	1	5	7	England
Tampa Bay Rowdies	1977	North American Soccer League	1	Paul Hammond	G	24	0	0	0	England
Tampa Bay Rowdies	1977	North American Soccer League	2	Farrukh Quraishi	M	14	0	0	0	Iran/England
Tampa Bay Rowdies	1977	North American Soccer League	3	Ian Anderson	M	11	2	0	4	Scotland
Tampa Bay Rowdies	1977	North American Soccer League	3	Alex Pringle	D	1	0	0	0	Scotland
Tampa Bay Rowdies	1977	North American Soccer League	4	Arsene Auguste	D	15	2	0	4	Haiti
Tampa Bay Rowdies	1977	North American Soccer League	5	Rino Agostino	D	1	0	0	0	Canada
Tampa Bay Rowdies	1977	North American Soccer League	5	David Robb	F	15	8	1	17	Scotland
Tampa Bay Rowdies	1977	North American Soccer League	6	Mike Connell	D	26	0	1	1	South Africa
Tampa Bay Rowdies	1977	North American Soccer League	7	Steve Wegerle	F	26	5	11	21	South Africa
Tampa Bay Rowdies	1977	North American Soccer League	8	Wes McLeod	M	20	1	5	7	Canada
Tampa Bay Rowdies	1977	North American Soccer League	9	Adrian Alston	F	17	7	3	17	England/Australia
Tampa Bay Rowdies	1977	North American Soccer League	10	Rodney Marsh	F	24	8	11	27	England
Tampa Bay Rowdies	1977	North American Soccer League	11	Len Glover	M	18	0	3	3	England
Tampa Bay Rowdies	1977	North American Soccer League	12	Derek Smethurst	F	21	19	4	42	South Africa
Tampa Bay Rowdies	1977	North American Soccer League	13	Stewart Jump	D	22	0	0	0	England
Tampa Bay Rowdies	1977	North American Soccer League	14	Joe Fink	F	12	0	0	0	USA
Tampa Bay Rowdies	1977	North American Soccer League	15	Mark Lindsay	M	20	1	3	5	England
Tampa Bay Rowdies	1977	North American Soccer League	16	Dennis Wit	M	7	0	1	1	USA
Tampa Bay Rowdies	1977	North American Soccer League	17	Kevin Eagan	D	21	0	0	0	USA
Tampa Bay Rowdies	1977	North American Soccer League	18	Winston DuBose	G	3	0	0	0	USA
Tampa Bay Rowdies	1977	North American Soccer League	19	Frantz St. Lot	D	5	0	0	0	Haiti/USA
Tampa Bay Rowdies	1977	North American Soccer League	20	Boris Bandov	F	5	0	0	0	Yugoslavia/USA
Tampa Bay Rowdies	1977	North American Soccer League	22	Radomir Stefanovic	D	2	0	0	0	Yugoslavia
Tampa Bay Rowdies	1978	North American Soccer League	1	Paul Hammond	G	8	0	0	0	England
Tampa Bay Rowdies	1978	North American Soccer League	3	Jim Fleeting	D	28	2	1	5	Scotland
Tampa Bay Rowdies	1978	North American Soccer League	4	Arsene Auguste	D	24	1	0	2	Haiti
Tampa Bay Rowdies	1978	North American Soccer League	5	David Robb	F	27	 	 	0	Scotland
Tampa Bay Rowdies	1978	North American Soccer League	6	Mike Connell	D	27	0	0	0	South Africa
Tampa Bay Rowdies	1978	North American Soccer League	7	Steve Wegerle	F	26	7	12	26	South Africa
Tampa Bay Rowdies	1978	North American Soccer League	8	Wes McLeod	M	29	5	5	15	Canada
Tampa Bay Rowdies	1978	North American Soccer League	9	Adrian Alston	F	2	1	1	3	England/Australia
Tampa Bay Rowdies	1978	North American Soccer League	10	Rodney Marsh	M	26	18	16	52	England
Tampa Bay Rowdies	1978	North American Soccer League	11	Graham Paddon	M	25	5	3	13	England
Tampa Bay Rowdies	1978	North American Soccer League	12	Peter Anderson	F	16	3	5	11	England
Tampa Bay Rowdies	1978	North American Soccer League	12	Derek Smethurst	F	4	0	1	1	South Africa
Tampa Bay Rowdies	1978	North American Soccer League	13	Mike McGuire	M	25	2	0	4	England
Tampa Bay Rowdies	1978	North American Soccer League	14	Joe Fink	M	9	4	1	9	USA
Tampa Bay Rowdies	1978	North American Soccer League	15	Luis Papandrea	D	15	0	1	1	Argentina
Tampa Bay Rowdies	1978	North American Soccer League	17	Kevin Eagan	D	7	0	0	0	USA
Tampa Bay Rowdies	1978	North American Soccer League	18	Winston DuBose	G	15	0	0	0	USA
Tampa Bay Rowdies	1978	North American Soccer League	19	Frantz St. Lot	D	22	0	1	1	Haiti
Tampa Bay Rowdies	1978	North American Soccer League	20	Boris Bandov	M/F	3	0	0	0	Yugoslavia/USA
Tampa Bay Rowdies	1978	North American Soccer League	21	Perry Van Der Beck	M	2	0	0	0	USA
Tampa Bay Rowdies	1978	North American Soccer League	22	Sandje Ivanchukov	D	2	0	0	0	USA
Tampa Bay Rowdies	1978	North American Soccer League	23	Tony Crudo	D	11	0	0	0	USA
Tampa Bay Rowdies	1978	North American Soccer League	24	Peter Chandler	D	4	0	0	0	USA
Tampa Bay Rowdies	1978	North American Soccer League	26	Mirandinha	F	14	1	3	5	Brazil
Tampa Bay Rowdies	1978	North American Soccer League	27	Nicky Johns	G	8	0	0	0	England
Tampa Bay Rowdies	1979	North American Soccer League	1	Winston DuBose	G	13	0	0	0	USA
Tampa Bay Rowdies	1979	North American Soccer League	2	Zeljko Bilecki	G	17	0	0	0	Yugoslavia/Canada
Tampa Bay Rowdies	1979	North American Soccer League	3	John Gorman	D	29	0	3	3	Scotland
Tampa Bay Rowdies	1979	North American Soccer League	4	Arsene Auguste	D	13	0	0	0	Haiti
Tampa Bay Rowdies	1979	North American Soccer League	5	Jan Van der Veen	M	29	4	12	20	Holland
Tampa Bay Rowdies	1979	North American Soccer League	6	Mike Connell	D	30	1	2	4	South Africa
Tampa Bay Rowdies	1979	North American Soccer League	7	Steve Wegerle	F	29	3	21	27	South Africa
Tampa Bay Rowdies	1979	North American Soccer League	8	Wes McLeod	M	30	5	9	19	Canada
Tampa Bay Rowdies	1979	North American Soccer League	9	Peter Anderson	F	0	0	0	0	England
Tampa Bay Rowdies	1979	North American Soccer League	10	Rodney Marsh	F	23	11	14	36	 England
Tampa Bay Rowdies	1979	North American Soccer League	11	Mirandinha	F	6	2	2	6	Brazil
Tampa Bay Rowdies	1979	North American Soccer League	11	Mojas Radonjic	F	9	2	5	9	Yugoslavia
Tampa Bay Rowdies	1979	North American Soccer League	12	Perry Van Der Beck	M	16	0	3	3	USA
Tampa Bay Rowdies	1979	North American Soccer League	13	Dave MacWilliams	F	6	1	0	2	USA
Tampa Bay Rowdies	1979	North American Soccer League	14	Peter Chandler	D	 	 	 	0	USA
Tampa Bay Rowdies	1979	North American Soccer League	15	Peter Baralic	M	27	9	8	26	Yugoslavia
Tampa Bay Rowdies	1979	North American Soccer League	16	Farrukh Quraishi	D	18	0	0	0	Iran/England
Tampa Bay Rowdies	1979	North American Soccer League	17	Tony Crudo	D	8	0	0	0	USA
Tampa Bay Rowdies	1979	North American Soccer League	18	Sandje Ivanchukov	D	1	0	0	0	USA
Tampa Bay Rowdies	1979	North American Soccer League	19	Tom Maurer	M	?	 	 	0	Germany
Tampa Bay Rowdies	1979	North American Soccer League	20	Oscar Fabbiani	F	26	25	8	58	Argentina/Chile
Tampa Bay Rowdies	1979	North American Soccer League	21	Manny Andruszewski	D	16	1	1	3	England
Tampa Bay Rowdies	1979	North American Soccer League	22	Barry Kitchener	D	20	0	1	1	England
Tampa Bay Rowdies	1979	North American Soccer League	23	Ivan Grnja	F	10	0	3	3	Yugoslavia
Tampa Bay Rowdies	1980	North American Soccer League	1	Winston DuBose	G	31	0	2	2	USA
Tampa Bay Rowdies	1980	North American Soccer League	2	Zeljko Bilecki	G	1	0	0	0	Yugoslavia/Canada
Tampa Bay Rowdies	1980	North American Soccer League	3	John Gorman	D	28	1	6	8	Scotland
Tampa Bay Rowdies	1980	North American Soccer League	4	Refik Kozic	D	32	2	2	6	Yugoslavia
Tampa Bay Rowdies	1980	North American Soccer League	5	Jan Van der Veen	M	28	3	17	23	Holland
Tampa Bay Rowdies	1980	North American Soccer League	6	Mike Connell	D	32	0	6	6	South Africa
Tampa Bay Rowdies	1980	North American Soccer League	7	Steve Wegerle	F	29	9	15	33	South Africa
Tampa Bay Rowdies	1980	North American Soccer League	8	Wes McLeod	M	23	6	3	15	Canada
Tampa Bay Rowdies	1980	North American Soccer League	9	Peter Anderson	M	24	5	4	14	England
Tampa Bay Rowdies	1980	North American Soccer League	11	Dave Taber	D	1	0	0	0	USA
Tampa Bay Rowdies	1980	North American Soccer League	12	Perry Van Der Beck	M	32	2	6	10	USA
Tampa Bay Rowdies	1980	North American Soccer League	14	Peter Chandler	M	 	 	 	0	USA
Tampa Bay Rowdies	1980	North American Soccer League	15	Peter Baralic	M	23	5	4	14	Yugoslavia
Tampa Bay Rowdies	1980	North American Soccer League	16	Farrukh Quraishi	D	9	0	0	0	Iran/England
Tampa Bay Rowdies	1980	North American Soccer League	17	Paul Mott	D	12	0	0	0	USA
Tampa Bay Rowdies	1980	North American Soccer League	18	Sandje Ivanchukov	D	9	0	1	1	USA
Tampa Bay Rowdies	1980	North American Soccer League	18	Washington Olivera	F	6	2	2	6	Uruguay
Tampa Bay Rowdies	1980	North American Soccer League	19	Neill Roberts	F	28	10	7	27	South Africa
Tampa Bay Rowdies	1980	North American Soccer League	20	Oscar Fabbiani	F	21	13	1	27	Argentina/Chile
Tampa Bay Rowdies	1980	North American Soccer League	21	Manny Andruszewski	D	14	0	1	1	England
Tampa Bay Rowdies	1980	North American Soccer League	22	Kevin Clinton	G	 	 	 	0	USA
Tampa Bay Rowdies	1980	North American Soccer League	23	Keith Bailey	F	8	1	1	3	Canada
Tampa Bay Rowdies	1981	North American Soccer League	1	Winston DuBose	G	14	0	0	0	USA
Tampa Bay Rowdies	1981	North American Soccer League	2	Ian Anderson	D	27	2	3	7	Scotland
Tampa Bay Rowdies	1981	North American Soccer League	3	John Gorman	D	27	0	3	3	Scotland
Tampa Bay Rowdies	1981	North American Soccer League	4	Refik Kozic	D	31	4	0	8	Yugoslavia
Tampa Bay Rowdies	1981	North American Soccer League	5	Jan Van der Veen	M	9	2	3	7	Holland
Tampa Bay Rowdies	1981	North American Soccer League	6	Mike Connell	D	32	1	4	6	South Africa
Tampa Bay Rowdies	1981	North American Soccer League	7	Steve Wegerle	F	10	2	2	6	South Africa
Tampa Bay Rowdies	1981	North American Soccer League	8	Wes McLeod	M	25	7	2	16	Canada
Tampa Bay Rowdies	1981	North American Soccer League	9	Frank Worthington	F	26	11	16	38	England
Tampa Bay Rowdies	1981	North American Soccer League	11	Dave Taber	D	3	0	0	0	USA
Tampa Bay Rowdies	1981	North American Soccer League	12	Perry Van Der Beck	M	6	2	1	5	USA
Tampa Bay Rowdies	1981	North American Soccer League	13	Kevin Keelan	G	18	0	1	1	India/England
Tampa Bay Rowdies	1981	North American Soccer League	14	Tony Kinsella	M/D	15	0	1	1	England/Ireland
Tampa Bay Rowdies	1981	North American Soccer League	15	David Mehmet	F/M	15	3	3	9	England
Tampa Bay Rowdies	1981	North American Soccer League	16	Billy Sweetzer	D/M	5	0	1	1	Canada
Tampa Bay Rowdies	1981	North American Soccer League	17	Terry Moore	D	24	2	1	5	Canada
Tampa Bay Rowdies	1981	North American Soccer League	18	Washington Olivera	F	22	2	9	13	Uruguay
Tampa Bay Rowdies	1981	North American Soccer League	19	Neill Roberts	F	25	2	5	9	South Africa
Tampa Bay Rowdies	1981	North American Soccer League	20	Oscar Fabbiani	F	8	2	2	6	Argentina/Chile
Tampa Bay Rowdies	1981	North American Soccer League	21	Manny Andruszewski	D	0	0	0	0	England
Tampa Bay Rowdies	1981	North American Soccer League	22	Kevin Clinton	G	0	0	0	0	USA
Tampa Bay Rowdies	1981	North American Soccer League	23	Keith Bailey	F	14	0	0	0	Canada
Tampa Bay Rowdies	1981	North American Soccer League	24	Tim Hanley	G	0	0	0	0	USA
Tampa Bay Rowdies	1981	North American Soccer League	24	Peter Roe	D	20	0	5	5	England/Canada
Tampa Bay Rowdies	1981	North American Soccer League	25	David Moss	F	22	9	11	29	England
Tampa Bay Rowdies	1981	North American Soccer League	26	Luis Fernando	F	16	9	2	20	Brazil
Tampa Bay Rowdies	1982	North American Soccer League	0	Jack Brand	G	14	0	0	0	Germany/USA
Tampa Bay Rowdies	1982	North American Soccer League	1	Jurgen Stars	G	15	0	0	0	Germany
Tampa Bay Rowdies	1982	North American Soccer League	2	Peter Gruber	D	20	0	0	0	Germany
Tampa Bay Rowdies	1982	North American Soccer League	3	John Gorman	D	27	0	1	1	Scotland
Tampa Bay Rowdies	1982	North American Soccer League	4	Refik Kozic	D	25	0	2	2	Yugoslavia
Tampa Bay Rowdies	1982	North American Soccer League	5	Peter Nogly	D	32	4	5	13	Germany
Tampa Bay Rowdies	1982	North American Soccer League	6	Mike Connell	D	32	2	4	8	South Africa
Tampa Bay Rowdies	1982	North American Soccer League	7	Zequinha	D/M	24	4	2	10	Brazil
Tampa Bay Rowdies	1982	North American Soccer League	8	Wes McLeod	F	31	2	6	10	Canada
Tampa Bay Rowdies	1982	North American Soccer League	9	Luis Fernando	M	31	16	3	35	Brazil
Tampa Bay Rowdies	1982	North American Soccer League	11	Marcelino De Oliveira	M	6	1	1	3	Brazil
Tampa Bay Rowdies	1982	North American Soccer League	12	Perry Van Der Beck	D/M	9	1	0	2	USA
Tampa Bay Rowdies	1982	North American Soccer League	13	Carl Bennett	D	1	0	0	0	USA
Tampa Bay Rowdies	1982	North American Soccer League	14	Njego Pesa	F	11	0	1	1	Yugoslavia/USA
Tampa Bay Rowdies	1982	North American Soccer League	15	Paul Roe	D/M	17	0	1	1	England/Canada
Tampa Bay Rowdies	1982	North American Soccer League	16	Pedro DeBrito	M/F	29	2	4	8	Portugal/USA
Tampa Bay Rowdies	1982	North American Soccer League	17	Don Droege	D	7	1	1	3	USA
Tampa Bay Rowdies	1982	North American Soccer League	17	Terry Moore	D/M	18	0	0	0	Canada
Tampa Bay Rowdies	1982	North American Soccer League	19	Hugo Perez	F	9	0	1	1	El Salvador/USA
Tampa Bay Rowdies	1982	North American Soccer League	20	Tom Boric	G	5	0	0	0	Canada
Tampa Bay Rowdies	1982	North American Soccer League	21	Bruce Bates	D	9	0	0	0	Canada
Tampa Bay Rowdies	1982	North American Soccer League	22	Carlos Babington	M	20	3	12	18	Argentina
Tampa Bay Rowdies	1982	North American Soccer League	22	Kevin Clinton	G	 	 	 	0	USA
Tampa Bay Rowdies	1982	North American Soccer League	24	Peter Roe	D	17	0	1	1	England/Canada
Tampa Bay Rowdies	1982	North American Soccer League	10,14	Tatu	D	14	7	2	16	Brazil
Tampa Bay Rowdies	1983	North American Soccer League	0	Skip Gilbert	G	1	0	0	0	USA
Tampa Bay Rowdies	1983	North American Soccer League	1	Jurgen Stars	G	20	0	0	0	Germany
Tampa Bay Rowdies	1983	North American Soccer League	2	Gregg Thompson	D	30	0	1	1	USA
Tampa Bay Rowdies	1983	North American Soccer League	3	Glenn Myernick	D	25	0	3	3	USA
Tampa Bay Rowdies	1983	North American Soccer League	4	Refik Kozic	D	16	1	1	3	Yugoslavia
Tampa Bay Rowdies	1983	North American Soccer League	5	Peter Nogly	D	24	4	2	10	Germany
Tampa Bay Rowdies	1983	North American Soccer League	6	Mike Connell	D	30	2	12	16	South Africa
Tampa Bay Rowdies	1983	North American Soccer League	7	Franz Gerber	F	21	4	9	17	Germany
Tampa Bay Rowdies	1983	North American Soccer League	8	Wes McLeod	M	7	1	1	3	Canada
Tampa Bay Rowdies	1983	North American Soccer League	9	Luis Fernando	F	9	3	1	7	Brazil
Tampa Bay Rowdies	1983	North American Soccer League	10	Tatu	F	29	12	3	27	Brazil
Tampa Bay Rowdies	1983	North American Soccer League	11	Manny Rojas	M	29	8	16	32	Chile
Tampa Bay Rowdies	1983	North American Soccer League	13	Tom Boric	G	9	0	1	1	Canada
Tampa Bay Rowdies	1983	North American Soccer League	14	Flemming Lund	M	17	0	4	4	Denmark
Tampa Bay Rowdies	1983	North American Soccer League	14	Juan Carlos Molina	M	12	0	0	0	Argentina
Tampa Bay Rowdies	1983	North American Soccer League	15	Peter Roe	D/M	9	0	1	1	England/Canada
Tampa Bay Rowdies	1983	North American Soccer League	16	Michel Lacevic	M	4	1	0	2	USA
Tampa Bay Rowdies	1983	North American Soccer League	17	Jan Van der Veen	M	17	3	4	10	Holland
Tampa Bay Rowdies	1983	North American Soccer League	18	Mark Karpun	F	13	5	3	13	Canada
Tampa Bay Rowdies	1983	North American Soccer League	19	Hugo Perez	F	11	0	1	1	El Salvador/USA
Tampa Bay Rowdies	1983	North American Soccer League	20	Eduardo Bonvallet	M	11	0	2	2	Chile
Tampa Bay Rowdies	1983	North American Soccer League	22	Peter Baralic	M	14	3	4	10	Yugoslavia
Tampa Bay Rowdies	1983	North American Soccer League	23	Jim Easton	M	6	0	0	0	Scotland/Canada
Tampa Bay Rowdies	1983	North American Soccer League	25	Mark Longwell	D	5	0	0	0	USA
Tampa Bay Rowdies	1983	North American Soccer League	32	Sam Allardyce	D	11	1	1	3	England
Tampa Bay Rowdies	1984	North American Soccer League	0	Tom Boric	G	1	0	0	0	Canada
Tampa Bay Rowdies	1984	North American Soccer League	1	Arnie Mausser	G	23	0	0	0	USA
Tampa Bay Rowdies	1984	North American Soccer League	2	Gregg Thompson	D	17	0	2	2	USA
Tampa Bay Rowdies	1984	North American Soccer League	3	Glenn Myernick	D	12	0	2	2	USA
Tampa Bay Rowdies	1984	North American Soccer League	4	Refik Kozic	D	21	0	0	0	Yugoslavia
Tampa Bay Rowdies	1984	North American Soccer League	5	Bob Bolitho	D	6	1	2	4	Canada
Tampa Bay Rowdies	1984	North American Soccer League	6	Mike Connell	D	23	1	6	8	South Africa
Tampa Bay Rowdies	1984	North American Soccer League	7	Steve Wegerle	F	23	3	14	20	South Africa
Tampa Bay Rowdies	1984	North American Soccer League	8	Wes McLeod	M	23	7	4	18	Canada
Tampa Bay Rowdies	1984	North American Soccer League	9	Stuart Lee	F	12	0	0	0	England
Tampa Bay Rowdies	1984	North American Soccer League	10	Tatu	F	17	5	5	15	Brazil
Tampa Bay Rowdies	1984	North American Soccer League	11	Tony Towers	M	9	0	0	0	England
Tampa Bay Rowdies	1984	North American Soccer League	12	Perry Van Der Beck	M	24	5	2	12	USA
Tampa Bay Rowdies	1984	North American Soccer League	14	Mark Lindsay	M	7	0	0	0	England
Tampa Bay Rowdies	1984	North American Soccer League	15	Peter Roe	D	8	0	0	0	England/Canada
Tampa Bay Rowdies	1984	North American Soccer League	16	Don McAllister	D	1	0	0	0	England
Tampa Bay Rowdies	1984	North American Soccer League	17	Roy Wegerle	F	21	9	7	25	South Africa
Tampa Bay Rowdies	1984	North American Soccer League	18	Mark Karpun	F	14	1	4	6	Canada
Tampa Bay Rowdies	1984	North American Soccer League	19	Neill Roberts	F	12	9	5	23	South Africa
Tampa Bay Rowdies	1984	North American Soccer League	20	Sonny Askew	M	7	1	0	2	USA
Tampa Bay Rowdies	1984	North American Soccer League	23	Jurgen Stars	G	2	0	0	0	Germany
Tampa Bay Rowdies	1984	North American Soccer League	24	Dave Power	D	1	0	0	0	England/USA
Tampa Bay Rowdies	1979-1980	North American Soccer League (indoor)	1	Winston DuBose	G	2	 	 	 	USA
Tampa Bay Rowdies	1979-1980	North American Soccer League (indoor)	2	Zeljko Bilecki	G	12	 	 	 	Yugoslavia/Canada
Tampa Bay Rowdies	1979-1980	North American Soccer League (indoor)	3	John Gorman	D	12	3	5	11	Scotland
Tampa Bay Rowdies	1979-1980	North American Soccer League (indoor)	4	Arsene Auguste	D	12	2	1	5	Haiti
Tampa Bay Rowdies	1979-1980	North American Soccer League (indoor)	5	Jan Van der Veen	M	8	7	7	21	Holland
Tampa Bay Rowdies	1979-1980	North American Soccer League (indoor)	6	Mike Connell	D	11	2	6	10	South Africa
Tampa Bay Rowdies	1979-1980	North American Soccer League (indoor)	7	Steve Wegerle	F	11	5	6	16	South Africa
Tampa Bay Rowdies	1979-1980	North American Soccer League (indoor)	8	Wes McLeod	M	12	13	12	38	Canada
Tampa Bay Rowdies	1979-1980	North American Soccer League (indoor)	9	Peter Anderson	F	11	7	11	25	England
Tampa Bay Rowdies	1979-1980	North American Soccer League (indoor)	12	Perry Van Der Beck	M	9	2	2	6	USA
Tampa Bay Rowdies	1979-1980	North American Soccer League (indoor)	13	Doug Wark	F	8	6	2	14	Scotland/USA
Tampa Bay Rowdies	1979-1980	North American Soccer League (indoor)	14	Peter Chandler	D	0	 	 	 	 
Tampa Bay Rowdies	1979-1980	North American Soccer League (indoor)	15	Peter Baralic	M	12	21	10	52	Yugoslavia
Tampa Bay Rowdies	1979-1980	North American Soccer League (indoor)	16	Farrukh Quraishi	D	12	1	4	6	Iran/England
Tampa Bay Rowdies	1979-1980	North American Soccer League (indoor)	18	Sandje Ivanchukov	D	12	0	2	2	USA
Tampa Bay Rowdies	1979-1980	North American Soccer League (indoor)	19	Tom Maurer	M	6	0	0	0	Germany
Tampa Bay Rowdies	1979-1980	North American Soccer League (indoor)	20	Oscar Fabbiani	F	4	6	7	19	Argentina/Chile
Tampa Bay Rowdies	1979-1980	North American Soccer League (indoor)	21	Keith Peacock	F	0	 	 	 	 
Tampa Bay Rowdies	1979-1980	North American Soccer League (indoor)	22	Kevin Clinton	G	1	 	 	 	USA
Tampa Bay Rowdies	1980-1981	North American Soccer League (indoor)	1	Winston DuBose	G	8	 	 	 	USA
Tampa Bay Rowdies	1980-1981	North American Soccer League (indoor)	3	John Gorman	D	18	6	11	23	Scotland
Tampa Bay Rowdies	1980-1981	North American Soccer League (indoor)	4	Refik Kozic	D	16	3	7	13	Yugoslavia
Tampa Bay Rowdies	1980-1981	North American Soccer League (indoor)	5	Jan Van der Veen	M	18	12	18	42	Holland
Tampa Bay Rowdies	1980-1981	North American Soccer League (indoor)	6	Mike Connell	D	18	1	10	12	South Africa
Tampa Bay Rowdies	1980-1981	North American Soccer League (indoor)	7	Steve Wegerle	F	18	25	20	70	South Africa
Tampa Bay Rowdies	1980-1981	North American Soccer League (indoor)	8	Wes McLeod	M	15	21	10	52	Canada
Tampa Bay Rowdies	1980-1981	North American Soccer League (indoor)	9	Peter Anderson	M	0	 	 	 	England
Tampa Bay Rowdies	1980-1981	North American Soccer League (indoor)	11	Dave Taber	D	15	4	3	11	USA
Tampa Bay Rowdies	1980-1981	North American Soccer League (indoor)	12	Perry Van Der Beck	M	0	 	 	 	USA
Tampa Bay Rowdies	1980-1981	North American Soccer League (indoor)	14	Peter Chandler	M	13	0	2	2	USA
Tampa Bay Rowdies	1980-1981	North American Soccer League (indoor)	15	Peter Baralic	M	0	 	 	 	Yugoslavia
Tampa Bay Rowdies	1980-1981	North American Soccer League (indoor)	16	Farrukh Quraishi	D	1	1	0	2	Iran/England
Tampa Bay Rowdies	1980-1981	North American Soccer League (indoor)	17	Paul Mott	D	13	1	1	3	USA
Tampa Bay Rowdies	1980-1981	North American Soccer League (indoor)	18	Washington Olivera	F	14	12	19	43	Uruguay
Tampa Bay Rowdies	1980-1981	North American Soccer League (indoor)	19	Neill Roberts	F	8	7	4	18	South Africa
Tampa Bay Rowdies	1980-1981	North American Soccer League (indoor)	20	Oscar Fabbiani	F	16	31	15	77	Argentina/Chile
Tampa Bay Rowdies	1980-1981	North American Soccer League (indoor)	21	Manny Andruszewski	D	13	2	3	7	England
Tampa Bay Rowdies	1980-1981	North American Soccer League (indoor)	22	Kevin Clinton	G	5	 	 	 	USA
Tampa Bay Rowdies	1980-1981	North American Soccer League (indoor)	24	Tim Hanley	G	 	 	 	 	USA
Tampa Bay Rowdies	1980-1981	North American Soccer League (indoor)	 	Keith Peacock	F	2	0	0	0	 
Tampa Bay Rowdies	1981-1982	North American Soccer League (indoor)	1	Winston DuBose	G	12	 	 	 	USA
Tampa Bay Rowdies	1981-1982	North American Soccer League (indoor)	2	Peter Gruber	D	18	3	12	18	Germany
Tampa Bay Rowdies	1981-1982	North American Soccer League (indoor)	3	John Gorman	D	18	6	16	28	Scotland
Tampa Bay Rowdies	1981-1982	North American Soccer League (indoor)	4	Refik Kozic	D	15	5	5	15	Yugoslavia
Tampa Bay Rowdies	1981-1982	North American Soccer League (indoor)	5	Jan Van der Veen	M	0	 	 	 	Holland
Tampa Bay Rowdies	1981-1982	North American Soccer League (indoor)	6	Mike Connell	D	16	0	12	12	South Africa
Tampa Bay Rowdies	1981-1982	North American Soccer League (indoor)	7	Zequinha	F	18	19	22	60	Brazil
Tampa Bay Rowdies	1981-1982	North American Soccer League (indoor)	8	Wes McLeod	M	14	15	14	44	Canada
Tampa Bay Rowdies	1981-1982	North American Soccer League (indoor)	9	Luis Fernando	F	0	 	 	 	Brazil
Tampa Bay Rowdies	1981-1982	North American Soccer League (indoor)	11	Njego Pesa	F	13	15	8	38	Yugoslavia/USA
Tampa Bay Rowdies	1981-1982	North American Soccer League (indoor)	12	Perry Van Der Beck	M	0	 	 	 	USA
Tampa Bay Rowdies	1981-1982	North American Soccer League (indoor)	13	Carl Bennett	D	11	0	2	2	USA
Tampa Bay Rowdies	1981-1982	North American Soccer League (indoor)	14	Tatu	F	14	21	7	49	Brazil
Tampa Bay Rowdies	1981-1982	North American Soccer League (indoor)	16	Pedro DeBrito	F	2	0	0	0	USA
Tampa Bay Rowdies	1981-1982	North American Soccer League (indoor)	16	Ray Vigliotti	D	1	0	0	0	USA
Tampa Bay Rowdies	1981-1982	North American Soccer League (indoor)	17	Terry Moore	D	13	2	6	10	Canada
Tampa Bay Rowdies	1981-1982	North American Soccer League (indoor)	18	Washington Olivera	F	1	0	1	1	Uruguay
Tampa Bay Rowdies	1981-1982	North American Soccer League (indoor)	19	Neill Roberts	F	 	 	 	 	South Africa
Tampa Bay Rowdies	1981-1982	North American Soccer League (indoor)	20	Jurgen Stars	G	11	0	2	2	Germany
Tampa Bay Rowdies	1981-1982	North American Soccer League (indoor)	21	Paul Roe	F	7	4	2	10	Canada
Tampa Bay Rowdies	1981-1982	North American Soccer League (indoor)	23	Keith Bailey	F	7	0	0	0	Canada
Tampa Bay Rowdies	1981-1982	North American Soccer League (indoor)	24	Peter Roe	D	0	 	 	 	England/Canada
Tampa Bay Rowdies	1981-1982	North American Soccer League (indoor)	25	Hugo Perez	F	17	13	8	34	El Salvador/USA
Tampa Bay Rowdies	1981-1982	North American Soccer League (indoor)	27	Jaiminho	F	1	0	0	0	Brazil
Tampa Bay Rowdies	1983-1984	North American Soccer League (indoor)	0	Arnie Mausser	G	8	0	0	0	USA
