Player	Team-For	Home-Team	Away-Team	Date	Goal-Time	Goal-Type	Comp	Assist	Assist2	
Ramos, Tab	MetroStars	MetroStars	AC Milan - Italy	5/16/2002	58		FDLY	Serna, Diego		
Buddle, Edson	Columbus Crew	Columbus Crew	Club Tigres - Mexico	6/25/2002	44		FDLY	Warzycha, Robert		
Washington, Dante	Dallas Burn	Dallas Burn	Viborg - Denmark	2/26/1997	0		FDLY	Hattrup, Petter		
Eck, Ted	Dallas Burn	Dallas Burn	Viborg - Denmark	2/26/1997	55		FDLY			
Paz, Adrian	Colorado Rapids	Atlas Academicos - Mexico	Colorado Rapids	2/25/1997	20		FDLY	Bravo, Paul		
Baicher, Jeff	San Jose Earthquakes	Atlas - Mexico	San Jose Earthquakes	2/25/1997	70		FDLY	Medved, Shawn		
Savarese, Giovanni	MetroStars	MetroStars	Alianza Lima - Peru	6/25/1997	79		FDLY	Lagos, Manny		
Vasquez, Martin	Tampa Bay Mutiny	Tampa Bay Mutiny	FinnPa - Finland	3/3/1997	8		FDLY	McKinley, Ivan		
Hejduk, Frankie	Tampa Bay Mutiny	Tampa Bay Mutiny	FinnPa - Finland	3/3/1997	12		FDLY	Ralston, Steve		
Galderisi, Giuseppe	Tampa Bay Mutiny	Tampa Bay Mutiny	FinnPa - Finland	3/3/1997	15	Penalty	FDLY			
Vasquez, Martin	Tampa Bay Mutiny	Tampa Bay Mutiny	FinnPa - Finland	3/3/1997	22		FDLY	Galderisi, Giuseppe		
Bravo, Paul	Colorado Rapids	CD Guadalajara Chivas - Mexico	Colorado Rapids	2/26/1997	80		FDLY			
Baumhoff, Billy	Colorado Rapids	Atlas - Mexico	Colorado Rapids	3/5/1997	74		FDLY	Wegerle, Roy		
Dougherty, Mark	Tampa Bay Mutiny	El Salvador	Tampa Bay Mutiny	3/24/1997	50		FDLY			
Ferruzzi, Marco	Tampa Bay Mutiny	El Salvador	Tampa Bay Mutiny	3/24/1997	65		FDLY			
Armas, Chris	Los Angeles Galaxy	Los Angeles Galaxy	FAS - El Salvador	3/22/1997	18		FDLY	Karapetyan, Harut		
Hurtado, Eduardo	Los Angeles Galaxy	Los Angeles Galaxy	FAS - El Salvador	3/22/1997	40		FDLY	Cienfuegos, Mauricio		
Wilson, Brad	Los Angeles Galaxy	Los Angeles Galaxy	FAS - El Salvador	3/22/1997	85		FDLY			
Ferruzzi, Marco	Tampa Bay Mutiny	Alianza - El Salvador	Tampa Bay Mutiny	3/20/1997	28		FDLY	Vargas, Nelson		
Galderisi, Giuseppe	Tampa Bay Mutiny	Tampa Bay Mutiny	SSK Vitkovice - Czech 	1/25/1997	3		FDLY	McKinley, Ivan		
Lozzano, Lawrence	San Jose Earthquakes	Tecos - Mexico	San Jose Earthquakes	2/28/1997	30		FDLY			
Lozzano, Lawrence	San Jose Earthquakes	Tecos - Mexico	San Jose Earthquakes	2/28/1997	40		FDLY			
Sullivan, Chris	San Jose Earthquakes	Tecos - Mexico	San Jose Earthquakes	2/28/1997	55		FDLY			
Baicher, Jeff	San Jose Earthquakes	Tecos - Mexico	San Jose Earthquakes	2/28/1997	61		FDLY			
Gaucho Silva	San Jose Earthquakes	Tecos - Mexico	San Jose Earthquakes	2/28/1997	80		FDLY			
Donadoni, Roberto	MetroStars	Serie  C U-21 - Italy	MetroStars	2/18/1997	50	Penalty	FDLY			
Wynalda, Eric	San Jose Earthquakes	Tapatio - Mexico	San Jose Earthquakes	3/4/1998	33		FDLY	Lozzano, Lawrence		
Wynalda, Eric	San Jose Earthquakes	Tapatio - Mexico	San Jose Earthquakes	3/4/1998	68	Penalty	FDLY			
Dos Santos, Marco	Colorado Rapids	Univ. de Guadalajara - Mexico	Colorado Rapids	2/19/1998	55		FDLY	Harris, Wolde		
White, Marquis	Colorado Rapids	Univ. de Guadalajara - Mexico	Colorado Rapids	2/19/1998	75		FDLY	Nunley, Andre		
Paule, Ross	Colorado Rapids	Tapatio - Mexico	Colorado Rapids	2/17/1998	4		FDLY	Boyce, Jason		
Rammel, Steve	Colorado Rapids	Tapatio - Mexico	Colorado Rapids	2/17/1998	9		FDLY	Cengarle, Julio		
Ianni, Tayt	Colorado Rapids	Tapatio - Mexico	Colorado Rapids	2/17/1998	90		FDLY	Harris, Wolde		
Marshall, Tyrone	Colorado Rapids	Atlas - Mexico	Colorado Rapids	2/25/1998	15		FDLY			
Marshall, Tyrone	Colorado Rapids	Atlas - Mexico	Colorado Rapids	2/25/1998	40		FDLY			
Jolley, Steve	US Project 40	Manchester United - England	US Project 40	12/5/1998	37		FDLY			
Cooks, Judah	US Project 40	Manchester United - England	US Project 40	12/5/1998	82		FDLY			
Paule, Ross	US Project 40	Manchester United - England	US Project 40	12/5/1998	88		FDLY			
