Player	Team-For	Home-Team	Away-Team	Date	Goal-Time	Goal-Type	Comp	Assist	Assist2	
Shaw, Ryan	San Fernando Quakes	San Fernando Quakes	Orange County Blue Star	5/13/2006	12		LGE			
Griffin, Maxwell	San Fernando Quakes	San Fernando Quakes	Orange County Blue Star	5/13/2006	23		LGE	Davis, Matthew		
Theslof, Nick	Orange County Blue Star	San Fernando Quakes	Orange County Blue Star	5/13/2006	81		LGE			
Irvin, Brian	Orange County Blue Star	San Fernando Quakes	Orange County Blue Star	5/13/2006	83		LGE	Hummel, Erik		
Boyce, Jason	Orange County Blue Star	San Fernando Quakes	Orange County Blue Star	5/13/2006	86		LGE	Theslof, Nick		
Farfan, Gabriel	Orange County Blue Star	San Fernando Quakes	Orange County Blue Star	5/13/2006	90		LGE			
Disang, Edwin	Des Moines Menace	St. Louis Lions	Des Moines Menace	5/13/2006	15		LGE	Kother, Cody		
Alarcon, Joshua	Brooklyn Knights	Brooklyn Knights	Virginia Beach Submariners	5/14/2006	57		LGE			
Moncaleno, Carlos	Brooklyn Knights	Brooklyn Knights	Virginia Beach Submariners	5/14/2006	64		LGE	Jean-Baptiste, Randy		
Lima, Caetano	Virginia Beach Submariners	Brooklyn Knights	Virginia Beach Submariners	5/14/2006	30		LGE			
Walker, Andrew	Virginia Beach Submariners	Brooklyn Knights	Virginia Beach Submariners	5/14/2006	84		LGE			
Holder, Ian	Virginia Beach Submariners	Brooklyn Knights	Virginia Beach Submariners	5/14/2006	88		LGE			
Savage, Keith	Central Florida Kraze	Ajax Orlando Prospects	Central Florida Kraze	5/16/2006	83		LGE			
Uzoigwe, Kenny	Michigan Bucks	Michigan Bucks	Ft. Wayne Fever	5/17/2006	60		LGE			
Olaoye, Dolapo	Michigan Bucks	Michigan Bucks	Ft. Wayne Fever	5/17/2006	67		LGE	Nelson, Erik		
Uzoigwe, Kenny	Michigan Bucks	Michigan Bucks	Ft. Wayne Fever	5/17/2006	82		LGE	Jafta, Nathaniel		
Uzoigwe, Kenny	Michigan Bucks	Michigan Bucks	Ft. Wayne Fever	5/17/2006	90		LGE	Turpin, Mychal		
Misiko, Bonivenger	Ft. Wayne Fever	Michigan Bucks	Ft. Wayne Fever	5/17/2006	48		LGE	Hayden, John		
Guzman, David	Chicago Fire Premier	Chicago Fire Premier	West Michigan Edge	5/17/2006	86		LGE	Tutich, Matt		
Hansen, Josh	Southern California Seahorses	Orange County Blue Star	Southern California Seahorses	5/17/2006	67	Penalty	LGE			
Hansen, Josh	Southern California Seahorses	Orange County Blue Star	Southern California Seahorses	5/17/2006	82		LGE			
Rus, Cristian	Southern California Seahorses	Orange County Blue Star	Southern California Seahorses	5/17/2006	89		LGE			
Watson, Matthew	Richmond Kickers	Richmond Kickers	Harrisburg City Islanders	5/14/2006	18		LGE	Carrieri, Chris		
Ssejjemba, Robert	Richmond Kickers	Richmond Kickers	Harrisburg City Islanders	5/14/2006	25		LGE	Williams, Anthony		
Burke, Michael	Richmond Kickers	Richmond Kickers	Harrisburg City Islanders	5/14/2006	48		LGE	Ssejjemba, Robert		
Carrieri, Chris	Richmond Kickers	Richmond Kickers	Harrisburg City Islanders	5/14/2006	68		LGE	Neagu, Christian		
