Player	Team-For	Home-Team	Away-Team	Date	Goal-Time	Goal-Type	Comp	Assist	Assist2	
Emilio, Luciano	DC United	DC United	CD Olympia-- Honduras	3/1/2007	37		CCC			
Emilio, Luciano	DC United	DC United	CD Olympia-- Honduras	3/1/2007	83		CCC			
Gomez, Christian	DC United	DC United	CD Olympia-- Honduras	3/1/2007	48	Penalty	CCC			
Gomez, Christian	DC United	CD Olympia-- Honduras	DC United	2/21/2007	29		CCC			
Gomez, Christian	DC United	CD Olympia-- Honduras	DC United	2/21/2007	59		CCC			
Emilio, Luciano	DC United	CD Olympia-- Honduras	DC United	2/21/2007	44		CCC			
Erpen, Facundo	DC United	CD Olympia-- Honduras	DC United	2/21/2007	74		CCC			
Dalglish, Paul	Houston Dynamo	Houston Dynamo	Puntarenas FC - Costa Rica	3/1/2007	27		CCC			
Gray, Kelly	Houston Dynamo	Houston Dynamo	Puntarenas FC - Costa Rica	3/1/2007	74		CCC			
Morales, Yuri	Puerto Rico Islanders - USL	Puerto Rico Islanders - USL	Hoppers FC - Antigua	12/9/2006	7		CQ			
Morales, Yuri	Puerto Rico Islanders - USL	Puerto Rico Islanders - USL	Hoppers FC - Antigua	12/9/2006	23		CQ			
Gonzalez, Alejandro	Puerto Rico Islanders - USL	Puerto Rico Islanders - USL	Hoppers FC - Antigua	12/9/2006	44		CQ			
Ekelund, Ronnie	San Jose Earthquakes	Rubin Kazan -- Russia	San Jose Earthquakes	2/20/2003	24	Penalty	LMC			
Ekelund, Ronnie	San Jose Earthquakes	Viking Stavangar -- Norway	San Jose Earthquakes	2/24/2003	5		LMC	Mullan, Brian		
Lalas, Alexi	Los Angeles Galaxy	Lyn Oslo -- Norway	Los Angeles Galaxy	2/18/2003	49		LMC	Elliott, Simon		
Albright, Chris	Los Angeles Galaxy	Lyn Oslo -- Norway	Los Angeles Galaxy	2/18/2003	53		LMC	Elliott, Simon		
Victorine, Sasha	Los Angeles Galaxy	Lyn Oslo -- Norway	Los Angeles Galaxy	2/18/2003	16		LMC	Glinton, Gavin		
Glinton, Gavin	Los Angeles Galaxy	Lyn Oslo -- Norway	Los Angeles Galaxy	2/18/2003	6		LMC	Elliott, Simon		
Glinton, Gavin	Los Angeles Galaxy	Lyn Oslo -- Norway	Los Angeles Galaxy	2/18/2003	88		LMC	Cienfuegos, Mauricio		
Cienfuegos, Mauricio	Los Angeles Galaxy	Torpedo Moscow -- Russia	Los Angeles Galaxy	2/21/2003	24		LMC			
Victorine, Sasha	Los Angeles Galaxy	Torpedo Moscow -- Russia	Los Angeles Galaxy	2/21/2003	50		LMC	Califf, Danny		
Gomez, Herculez	Los Angeles Galaxy	Torpedo Moscow -- Russia	Los Angeles Galaxy	2/21/2003	17		LMC	Moore, Jason		
Albright, Chris	Los Angeles Galaxy	Viking Stavangar -- Norway	Los Angeles Galaxy	2/28/2003	20		LMC	Gomez, Herculez		
Albright, Chris	Los Angeles Galaxy	Viking Stavangar -- Norway	Los Angeles Galaxy	2/28/2003	33		LMC	Moore, Jason		
Cienfuegos, Mauricio	Los Angeles Galaxy	Viking Stavangar -- Norway	Los Angeles Galaxy	2/28/2003	54		LMC	Albright, Chris		
DeRosario, Dwayne	San Jose Earthquakes	Gif Sundsvall -- Sweden	San Jose Earthquakes	2/25/2004	45		LMC	Mulrooney, Richard		
Walker, Jamil	San Jose Earthquakes	Gif Sundsvall -- Sweden	San Jose Earthquakes	2/25/2004	53		LMC	Mullan, Brian		
Donovan, Landon	San Jose Earthquakes	Gif Sundsvall -- Sweden	San Jose Earthquakes	2/25/2004	90		LMC	Russell, Ian		
Ching, Brian	San Jose Earthquakes	Stabaek -- Norway	San Jose Earthquakes	2/28/2004	73		LMC	Leveque, Roger		
Walker, Jamil	San Jose Earthquakes	Stabaek -- Norway	San Jose Earthquakes	2/28/2004	34		LMC	Corrales, Ramiro		
DeRosario, Dwayne	San Jose Earthquakes	Viking Stavangar -- Norway	San Jose Earthquakes	3/2/2003	36		LMC	Mullan, Brian		
Corrales, Ramiro	San Jose Earthquakes	Dynamo Kiev -- Ukraine	San Jose Earthquakes	3/5/2004	86		LMC			
Corrales, Ramiro	San Jose Earthquakes	Lyn Oslo -- Norway	San Jose Earthquakes	2/27/2003	15	Penalty	LMC			
Mullan, Brian	San Jose Earthquakes	Lyn Oslo -- Norway	San Jose Earthquakes	2/27/2003	38		LMC	Walker, Jamil		
Alvarez, Arturo	San Jose Earthquakes	Lyn Oslo -- Norway	San Jose Earthquakes	2/27/2003	90		LMC	Corrales, Ramiro		
Clark, Ricardo	Houston Dynamo	Houston Dynamo	Gamba Osaka - Japan	2/23/2008	11		PPC			
DeRosario, Dwayne	Houston Dynamo	Houston Dynamo	Sydney FC - Australia	2/20/2008	27		PPC			
Holden, Stuart	Houston Dynamo	Houston Dynamo	Sydney FC - Australia	2/20/2008	28		PPC			
Wondolowski, Chris	Houston Dynamo	Houston Dynamo	Sydney FC - Australia	2/20/2008	43		PPC			
Allen, Ely	Los Angeles Galaxy	Los Angeles Galaxy	Sydney FC - Australia	2/23/2008	3		PPC			
Tudela, Josh	Los Angeles Galaxy	Los Angeles Galaxy	Sydney FC - Australia	2/23/2008	45		PPC			
McTavish, Devon	DC United	Harbour View FC -- Jamaica	DC United	3/12/2008	45		CCC			
