Date	Home-Team	Away-Team	For	Against	Attendance	Competition	Comp	Comments	Referee	Awarded	Round	Period	
3/8/1998	Dallas Burn/FC Dallas 96	Cruz Azul -- Mexico	1	2	9,015	CONCACAF Cup Winners Cup	CCWC			As Scored	0	0	
6/28/1998	Colorado Rapids	Leon -- Mexico	1	0	7,442	CONCACAF Champions Cup	CCC	Paz 1 Ast		As Scored	0	0	
7/15/1998	Leon -- Mexico	Colorado Rapids	4	2	100	CONCACAF Champions Cup	CCC			As Scored	0	0	
8/11/1998	DC United	Joe Public -- T & T	8	0	7,117	CONCACAF Champions Cup	CCC	Williams,Talley,Etch,Agoos,Wood,Pope 1, Olsen 2Ast		As Scored	0	0	
8/14/1998	DC United	Leon -- Mexico	2	0	10,526	CONCACAF Champions Cup	CCC	Moreno, Harkes 1 Ast		As Scored	0	0	
8/16/1998	DC United	Toluca -- Mexico	1	0	12,607	CONCACAF Champions Cup	CCC	Etcheverry 1 Ast		As Scored	0	0	
11/14/1998	DC United	Vasco da Gama -- Brazil	0	1	26,216	Interamerican Cup	IAC			As Scored	0	0	
12/5/1998	Vasco da Gama -- Brazil	DC United	0	2	7,283	Interamerican Cup	IAC	Agoos, Etcheverry 1 Ast		As Scored	0	0	
8/18/1999	Los Angeles Galaxy	Necaxa -- Mexico	1	1	10,019	CONCACAF Champions Cup	CCC	Vanney 1 Ast		Away Win	0	0	
9/29/1999	Chicago Fire	Joe Public -- T & T	2	0	6,521	CONCACAF Champions Cup	CCC	Nowak, Dougherty 1 Ast		As Scored	0	0	
9/29/1999	DC United	Olimpia -- Honduras	1	0	7,127	CONCACAF Champions Cup	CCC	Talley 1 Ast		As Scored	0	0	
