,"id","nm","makecoef.2500.","makecoef.5000.","makecoef.10000.","makecoef.20000.","makecoef.40000.","makecoef.80000."
19,340,"eddie-robinson",-0.13,-0.08,-0.05,-0.02,-0.01,0
346,442,"thabiso-khumalo",-0.15,-0.08,-0.05,-0.02,-0.01,-0.01
458,248,"obrian-white",-0.08,-0.06,-0.04,-0.02,-0.01,-0.01
6,161,"adam-cristman",-0.07,-0.06,-0.04,-0.02,-0.01,-0.01
545,865,"juan-manuel-pena-montano",-0.1,-0.07,-0.04,-0.02,-0.01,-0.01
697,168,"stephen-mccarthy",-0.11,-0.06,-0.04,-0.02,-0.02,-0.01
260,313,"nana-attakora-gyan",-0.06,-0.05,-0.03,-0.03,-0.02,-0.01
577,217,"kyle-nakazawa",-0.13,-0.08,-0.05,-0.03,-0.01,-0.01
451,378,"edgaras-jankauskas",-0.18,-0.1,-0.05,-0.03,-0.01,-0.01
266,916,"ray-burse",-0.11,-0.07,-0.04,-0.03,-0.01,-0.01
81,269,"guillermo-barros-schelotto",-0.29,-0.16,-0.07,-0.03,0,0
166,466,"ivan-guerrero",-0.07,-0.06,-0.04,-0.03,-0.02,-0.01
718,127,"caleb-folan",-0.17,-0.1,-0.05,-0.03,-0.01,-0.01
372,397,"sam-cronin",-0.07,-0.06,-0.04,-0.03,-0.02,-0.01
239,212,"mehdi-ballouchy",-0.16,-0.1,-0.06,-0.03,-0.01,0
391,771,"tim-ward",-0.09,-0.07,-0.05,-0.03,-0.01,-0.01
95,365,"jim-brennan",-0.03,-0.03,-0.03,-0.03,-0.02,-0.01
428,683,"mike-videira",-0.15,-0.09,-0.05,-0.03,-0.01,-0.01
184,467,"chris-klein",-0.13,-0.08,-0.05,-0.03,-0.01,-0.01
781,122,"milton-caraglio",-0.11,-0.07,-0.05,-0.03,-0.02,-0.01
153,433,"sasha-victorine",-0.14,-0.08,-0.05,-0.03,-0.02,-0.01
598,809,"branko-boskovic",-0.12,-0.07,-0.05,-0.03,-0.02,-0.01
415,179,"scott-palguta",-0.14,-0.09,-0.05,-0.03,-0.01,-0.01
623,84,"andres-mendoza",-0.16,-0.09,-0.05,-0.03,-0.02,-0.01
520,702,"stephane-auvray",-0.16,-0.1,-0.05,-0.03,-0.01,-0.01
101,524,"kevin-harmse",-0.12,-0.08,-0.05,-0.03,-0.02,-0.01
178,448,"joe-vide",-0.16,-0.1,-0.05,-0.03,-0.02,-0.01
171,373,"nick-garcia",-0.03,-0.04,-0.03,-0.03,-0.02,-0.01
69,884,"brandon-prideaux",-0.34,-0.18,-0.08,-0.03,-0.01,0
708,732,"mikael-david-yourassowsky",-0.07,-0.05,-0.04,-0.03,-0.02,-0.01
120,304,"paulo-nagamura",-0.1,-0.07,-0.05,-0.03,-0.02,-0.01
295,910,"lance-watson",-0.16,-0.09,-0.05,-0.03,-0.02,-0.01
76,141,"stephen-king",-0.13,-0.08,-0.05,-0.03,-0.02,-0.01
393,230,"bobby-convey",-0.1,-0.07,-0.05,-0.03,-0.02,-0.01
390,779,"steve-purdy",-0.15,-0.09,-0.05,-0.03,-0.02,-0.01
160,336,"sinisa-ubiparipovic",-0.1,-0.07,-0.05,-0.03,-0.02,-0.01
57,338,"carey-talley",-0.05,-0.05,-0.04,-0.03,-0.02,-0.01
211,245,"hunter-freeman",-0.12,-0.08,-0.05,-0.03,-0.02,-0.01
740,716,"richard-eckersley",-0.04,-0.04,-0.04,-0.03,-0.02,-0.01
